Position,Const,Created,Modified,Description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
23,,,,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",The Divergent Series: Allegiant,,Robert Schwentke,,5.7,,2016,"Action, Adventure, Mystery",,,
24,,,,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Miss Peregrine’s Home for Peculiar Children,,Tim Burton,,6.8,,2016,"Adventure, Drama, Family",,,
25,,,,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",Ice Age: Collision Course,," Mike Thurmeier, Galen T. Chu",,5.7,,2016,"Animation, Adventure, Comedy",,,
26,,,,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",Jack Reacher: Never Go Back,,Edward Zwick,,6.1,,2016,"Action, Adventure, Crime",,,
27,,,,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",Ben-Hur,, Timur Bekmambetov,,5.7,,2016,"Action, Adventure, Drama",,,
28,,,,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,The Magnificent Seven,,Antoine Fuqua,,7,,2016,"Action, Adventure, Western",,,
29,,,,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.,Now You See Me 2,,Jon M. Chu,,6.5,,2016,"Action, Adventure, Comedy",,,
30,,,,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",The Little Prince,,Mark Osborne,,7.8,,2016,"Animation, Adventure, Drama",,,
31,,,,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",The Secret Life of Pets,,"Chris Renaud, Yarrow Cheney",,6.6,,2016,"Animation, Adventure, Comedy",,,
32,,,,"Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",The Angry Birds Movie,,"Clay Kaytis, Fergal Reilly",,6.3,,2016,"Animation, Action, Adventure",,,
